Source,Target,Type,Weight
655222977,154743834,undirected,1
655222977,206960975,undirected,1
655222977,209196281,undirected,1
655222977,222535349,undirected,1
655222977,230486741,undirected,1
655222977,267693245,undirected,1
655222977,295359803,undirected,1
655222977,333551956,undirected,1
655222977,343807195,undirected,1
655222977,347161259,undirected,1
655222977,361997585,undirected,1
655222977,364783047,undirected,1
655222977,414060061,undirected,1
655222977,414982388,undirected,1
655222977,478906381,undirected,1
508684648,655222977,undirected,1
516081400,655222977,undirected,1
554464000,655222977,undirected,1
655222977,566235348,undirected,1
655222977,587992051,undirected,1
655222977,608289193,undirected,1
655222977,617525420,undirected,1
655222977,640808366,undirected,1
4168815,575489807,undirected,1
16347475,575489807,undirected,1
17240518,575489807,undirected,1
27250326,575489807,undirected,1
27463308,575489807,undirected,1
34838359,575489807,undirected,1
38484482,575489807,undirected,1
68047613,575489807,undirected,1
94782690,575489807,undirected,1
101706809,575489807,undirected,1
106044422,575489807,undirected,1
140174077,575489807,undirected,1
142265224,575489807,undirected,1
142840943,575489807,undirected,1
152084313,575489807,undirected,1
156160510,575489807,undirected,1
165701082,575489807,undirected,1
169182812,575489807,undirected,1
171986143,575489807,undirected,1
182089984,575489807,undirected,1
188486336,575489807,undirected,1
207494674,575489807,undirected,1
210331353,575489807,undirected,1
219629233,575489807,undirected,1
220755540,575489807,undirected,1
225926679,575489807,undirected,1
228010067,575489807,undirected,1
230486741,575489807,undirected,1
231721571,575489807,undirected,1
232095284,575489807,undirected,1
234190199,575489807,undirected,1
246249062,575489807,undirected,1
250193500,575489807,undirected,1
257071578,575489807,undirected,1
260618095,575489807,undirected,1
268720905,575489807,undirected,1
280568095,575489807,undirected,1
281263209,575489807,undirected,1
283459200,575489807,undirected,1
299282937,575489807,undirected,1
301290232,575489807,undirected,1
303369066,575489807,undirected,1
305083951,575489807,undirected,1
310170448,575489807,undirected,1
312115832,575489807,undirected,1
315407919,575489807,undirected,1
318162863,575489807,undirected,1
320631657,575489807,undirected,1
334536593,575489807,undirected,1
334779493,575489807,undirected,1
336649504,575489807,undirected,1
340717076,575489807,undirected,1
341359766,575489807,undirected,1
353258049,575489807,undirected,1
359475946,575489807,undirected,1
382978187,575489807,undirected,1
384502357,575489807,undirected,1
385179193,575489807,undirected,1
388535141,575489807,undirected,1
389553841,575489807,undirected,1
403902828,575489807,undirected,1
409593957,575489807,undirected,1
413597049,575489807,undirected,1
416196764,575489807,undirected,1
420101426,575489807,undirected,1
436209912,575489807,undirected,1
437538000,575489807,undirected,1
438786483,575489807,undirected,1
444571061,575489807,undirected,1
445654705,575489807,undirected,1
446966693,575489807,undirected,1
448507120,575489807,undirected,1
454816468,575489807,undirected,1
460251194,575489807,undirected,1
464988488,575489807,undirected,1
478949197,575489807,undirected,1
480582600,575489807,undirected,1
483481782,575489807,undirected,1
487250853,575489807,undirected,1
491028439,575489807,undirected,1
492694603,575489807,undirected,1
494705829,575489807,undirected,1
495502964,575489807,undirected,1
495970310,575489807,undirected,1
511986467,575489807,undirected,1
515079687,575489807,undirected,1
517716248,575489807,undirected,1
521923904,575489807,undirected,1
522255872,575489807,undirected,1
530107070,575489807,undirected,1
531732692,575489807,undirected,1
539275545,575489807,undirected,1
539421534,575489807,undirected,1
541627119,575489807,undirected,1
545465390,575489807,undirected,1
547903862,575489807,undirected,1
552536343,575489807,undirected,1
554275820,575489807,undirected,1
554386766,575489807,undirected,1
560579812,575489807,undirected,1
563295076,575489807,undirected,1
564628277,575489807,undirected,1
566372528,575489807,undirected,1
567206211,575489807,undirected,1
568442251,575489807,undirected,1
572091638,575489807,undirected,1
581933197,575489807,undirected,1
591573859,575489807,undirected,1
594356095,575489807,undirected,1
607154246,575489807,undirected,1
567268592,8871636,undirected,1
567268592,13507913,undirected,1
567268592,15959529,undirected,1
567268592,42959080,undirected,1
567268592,68076353,undirected,1
567268592,68779068,undirected,1
567268592,72886498,undirected,1
567268592,76611333,undirected,1
567268592,82431948,undirected,1
567268592,93377936,undirected,1
567268592,94060969,undirected,1
567268592,95694147,undirected,1
567268592,120428354,undirected,1
567268592,120450863,undirected,1
567268592,131170235,undirected,1
567268592,138563619,undirected,1
567268592,141225674,undirected,1
567268592,141858489,undirected,1
567268592,144024218,undirected,1
567268592,145677500,undirected,1
567268592,150389775,undirected,1
567268592,151029742,undirected,1
567268592,153128692,undirected,1
567268592,154331071,undirected,1
567268592,159059580,undirected,1
567268592,166341877,undirected,1
567268592,168717583,undirected,1
567268592,169059621,undirected,1
567268592,169352762,undirected,1
567268592,170116194,undirected,1
567268592,170817495,undirected,1
567268592,172075538,undirected,1
567268592,173615425,undirected,1
567268592,173846103,undirected,1
567268592,174756219,undirected,1
567268592,174971686,undirected,1
567268592,175054456,undirected,1
567268592,175242920,undirected,1
567268592,176025101,undirected,1
567268592,177354487,undirected,1
567268592,177499187,undirected,1
567268592,179656817,undirected,1
567268592,179665480,undirected,1
567268592,182087746,undirected,1
567268592,182388635,undirected,1
567268592,183086927,undirected,1
567268592,183334898,undirected,1
567268592,184712475,undirected,1
567268592,185131125,undirected,1
567268592,186364983,undirected,1
567268592,187528533,undirected,1
567268592,187742264,undirected,1
567268592,188486336,undirected,1
567268592,190644891,undirected,1
567268592,191003711,undirected,1
567268592,191530278,undirected,1
567268592,195719257,undirected,1
567268592,196768321,undirected,1
567268592,197788225,undirected,1
567268592,201366649,undirected,1
567268592,203787891,undirected,1
567268592,203982921,undirected,1
567268592,205517685,undirected,1
567268592,207190664,undirected,1
567268592,207474166,undirected,1
567268592,208207623,undirected,1
567268592,209084584,undirected,1
567268592,210432233,undirected,1
567268592,211313275,undirected,1
567268592,211477786,undirected,1
567268592,211764502,undirected,1
567268592,212090069,undirected,1
567268592,212573456,undirected,1
567268592,212953557,undirected,1
567268592,213680399,undirected,1
567268592,213986793,undirected,1
567268592,215887619,undirected,1
567268592,217301869,undirected,1
567268592,217498391,undirected,1
567268592,217519882,undirected,1
567268592,217733422,undirected,1
567268592,222464316,undirected,1
567268592,223258566,undirected,1
567268592,224271472,undirected,1
567268592,224692298,undirected,1
567268592,224787717,undirected,1
567268592,226150791,undirected,1
567268592,228607417,undirected,1
567268592,228698045,undirected,1
567268592,229069514,undirected,1
567268592,230088063,undirected,1
567268592,230221797,undirected,1
567268592,230486741,undirected,1
567268592,231439201,undirected,1
567268592,232403586,undirected,1
567268592,232626728,undirected,1
567268592,232778321,undirected,1
567268592,234502067,undirected,1
567268592,237000304,undirected,1
567268592,237281618,undirected,1
567268592,237470881,undirected,1
567268592,237932718,undirected,1
567268592,238481588,undirected,1
567268592,238659522,undirected,1
567268592,240200989,undirected,1
567268592,240294858,undirected,1
567268592,240940382,undirected,1
